Kommune,Change
Copenhagen,2202
Frederiksberg,1289
Dragør,-208
Tårnby,221
Albertslund,70
Ballerup,1014
Brøndby,992
Gentofte,-40
Gladsaxe,-528
Glostrup,277
Herlev,347
Hvidovre,-528
Høje-Taastrup,1368
Ishøj,-185
Lyngby-Taarbæk,-547
Rødovre,561
Vallensbæk,342
Allerød,-18
Egedal,756
Fredensborg,74
Frederikssund,262
Furesø,443
Gribskov,-350
Halsnæs,-576
Helsingør,-276
Hillerød,702
Hørsholm,49
Rudersdal,-433
Bornholm,-1295
Christiansø,3
Greve,1036
Køge,372
Lejre,419
Roskilde,1047
Solrød,503
Faxe,-74
Guldborgsund,-1679
Holbæk,293
Kalundborg,-1190
Lolland,-1906
Næstved,-282
Odsherred,-1089
Ringsted,-13
Slagelse,-233
Sorø,8
Stevns,-232
Vordingborg,-1089
Assens,-881
Faaborg-Midtfyn,-294
Kerteminde,-268
Langeland,-568
Middelfart,80
Nordfyns,-659
Nyborg,-153
Odense,1053
Svendborg,-687
Ærø,-341
Billund,-555
Esbjerg,-2626
Fanø,-197
Fredericia,-58
Haderslev,-1450
Kolding,81
Sønderborg,-2026
Tønder,-2032
Varde,-1233
Vejen,-693
Vejle,335
Aabenraa,-1844
Favrskov,160
Hedensted,160
Horsens,929
Norddjurs,-1206
Odder,309
Randers,-18
Samsø,-129
Silkeborg,2211
Skanderborg,733
Syddjurs,-256
Århus,8683
Herning,-1165
Holstebro,-573
Ikast-Brande,-359
Lemvig,-906
Ringkøbing-Skjern,-1376
Skive,-1282
Struer,-715
Viborg,-351
Brønderslev-Dronninglund,-157
Frederikshavn,-1893
Hjørring,-1444
Jammerbugt,-628
Læsø,-65
Mariagerfjord,-844
Morsø,-727
Rebild,65
Thisted,-1016
Vesthimmerland,-846
Aalborg,1042
