Kommune,Change
Copenhagen,23626
Frederiksberg,2963
Dragør,-190
Tårnby,948
Albertslund,1296
Ballerup,3600
Brøndby,3972
Gentofte,649
Gladsaxe,1651
Glostrup,1804
Herlev,2146
Hvidovre,357
Høje-Taastrup,5672
Ishøj,1129
Lyngby-Taarbæk,1056
Rødovre,2790
Vallensbæk,1545
Allerød,209
Egedal,1374
Fredensborg,608
Frederikssund,1035
Furesø,821
Gribskov,122
Halsnæs,-13
Helsingør,257
Hillerød,2108
Hørsholm,398
Rudersdal,123
Bornholm,-1009
Christiansø,3
Greve,2215
Køge,1618
Lejre,776
Roskilde,2099
Solrød,948
Faxe,555
Guldborgsund,-1125
Holbæk,1017
Kalundborg,-163
Lolland,-1061
Næstved,708
Odsherred,-883
Ringsted,771
Slagelse,817
Sorø,322
Stevns,-21
Vordingborg,-560
Assens,-426
Faaborg-Midtfyn,253
Kerteminde,70
Langeland,-487
Middelfart,350
Nordfyns,-345
Nyborg,102
Odense,4088
Svendborg,-376
Ærø,-207
Billund,389
Esbjerg,-1396
Fanø,-186
Fredericia,898
Haderslev,-356
Kolding,1998
Sønderborg,169
Tønder,-1167
Varde,-542
Vejen,-51
Vejle,2772
Aabenraa,-484
Favrskov,589
Hedensted,1004
Horsens,2970
Norddjurs,-879
Odder,492
Randers,951
Samsø,-96
Silkeborg,3252
Skanderborg,960
Syddjurs,97
Århus,15830
Herning,12
Holstebro,55
Ikast-Brande,775
Lemvig,-662
Ringkøbing-Skjern,-515
Skive,-909
Struer,-587
Viborg,519
Brønderslev-Dronninglund,154
Frederikshavn,-1302
Hjørring,-939
Jammerbugt,-265
Læsø,-60
Mariagerfjord,-397
Morsø,-633
Rebild,207
Thisted,-691
Vesthimmerland,-456
Aalborg,2695
