Kommune,Change
Copenhagen,21424
Frederiksberg,1674
Dragør,18
Tårnby,727
Albertslund,1226
Ballerup,2586
Brøndby,2980
Gentofte,689
Gladsaxe,2179
Glostrup,1527
Herlev,1799
Hvidovre,885
Høje-Taastrup,4304
Ishøj,1314
Lyngby-Taarbæk,1603
Rødovre,2229
Vallensbæk,1203
Allerød,227
Egedal,618
Fredensborg,534
Frederikssund,773
Furesø,378
Gribskov,472
Halsnæs,563
Helsingør,533
Hillerød,1406
Hørsholm,349
Rudersdal,556
Bornholm,286
Christiansø,0
Greve,1179
Køge,1246
Lejre,357
Roskilde,1052
Solrød,445
Faxe,629
Guldborgsund,554
Holbæk,724
Kalundborg,1027
Lolland,845
Næstved,990
Odsherred,206
Ringsted,784
Slagelse,1050
Sorø,314
Stevns,211
Vordingborg,529
Assens,455
Faaborg-Midtfyn,547
Kerteminde,338
Langeland,81
Middelfart,270
Nordfyns,314
Nyborg,255
Odense,3035
Svendborg,311
Ærø,134
Billund,944
Esbjerg,1230
Fanø,11
Fredericia,956
Haderslev,1094
Kolding,1917
Sønderborg,2195
Tønder,865
Varde,691
Vejen,642
Vejle,2437
Aabenraa,1360
Favrskov,429
Hedensted,844
Horsens,2041
Norddjurs,327
Odder,183
Randers,969
Samsø,33
Silkeborg,1041
Skanderborg,227
Syddjurs,353
Århus,7147
Herning,1177
Holstebro,628
Ikast-Brande,1134
Lemvig,244
Ringkøbing-Skjern,861
Skive,373
Struer,128
Viborg,870
Brønderslev-Dronninglund,311
Frederikshavn,591
Hjørring,505
Jammerbugt,363
Læsø,5
Mariagerfjord,447
Morsø,94
Rebild,142
Thisted,325
Vesthimmerland,390
Aalborg,1653
