" "," "," ","2008Q3","2009Q3","2010Q3","2011Q3","2012Q3","2013Q3","2014Q3","2015Q3","2016Q3","2017Q3","2018Q3","2019Q3","2020Q3","2021Q3","2022Q3","2023Q3","2024Q3","2025Q3"
"Total"
" ","Age, total"
" "," ","Copenhagen",511686,521397,531199,541989,551900,562379,572287,583525,594535,605366,616098,626508,633035,638790,647509,655730,661831,667574
" "," ","Frederiksberg",93921,95565,97517,99157,100637,101959,102658,103666,104180,104641,103914,103725,104118,102940,104094,104566,105196,105637
" "," ","Drag�r",13350,13460,13661,13741,13807,13883,13951,14051,14206,14263,14201,14394,14515,14588,14669,14519,14457,14437
" "," ","T�rnby",40158,40329,40558,41014,41247,41708,42366,42671,42904,43011,43005,43018,42785,42658,43042,43309,43957,44173
" "," ","Albertslund",27596,27739,27685,27715,27834,27722,27721,27647,27792,27816,27753,27750,27543,27113,27547,27499,27545,28686
" "," ","Ballerup",47363,47526,47695,47981,48181,48419,48509,48287,48215,48186,48403,48421,48916,49106,49623,50474,52103,53657
" "," ","Br�ndby",33716,33821,33856,34026,34106,34309,34886,35197,35410,35528,35511,35104,35112,35457,36161,37899,39657,40576
" "," ","Gentofte",69188,70270,71506,72041,73152,73660,74644,75125,75518,75835,75130,75055,74773,74303,74492,75015,75053,75058
" "," ","Gladsaxe",62863,63395,64550,65069,65618,66310,66925,67543,68267,69282,69261,69489,69109,68963,69520,70322,70902,70882
" "," ","Glostrup",20834,21156,21365,21532,21757,21987,22243,22384,22475,22523,22557,22891,23322,23526,23555,23669,23899,25673
" "," ","Herlev",26632,26582,26702,26533,26671,27079,27972,28170,28423,28526,28648,29000,28933,28835,28864,29318,30177,31535
" "," ","Hvidovre",49269,49428,49851,50297,50960,51609,52047,52538,52918,53074,53480,53529,53422,53247,53324,53625,53803,53973
" "," ","H�je-Taastrup",47269,47528,47603,47881,48243,48667,48982,49560,50139,50401,50676,50853,50923,52504,54192,56300,58465,59626
" "," ","Ish�j",20665,20778,20759,21013,21110,21267,21761,22193,22536,22906,23011,22988,23018,23055,23317,23643,23791,24384
" "," ","Lyngby-Taarb�k",51437,51532,52277,52807,53386,53862,54401,54713,55111,55211,55461,56088,56046,57072,58075,58365,58530,58406
" "," ","R�dovre",36126,36266,36277,36620,37106,37280,37589,37724,38186,38686,39590,40478,40848,41217,41649,43594,44637,44999
" "," ","Vallensb�k",12900,13639,14283,14526,14644,14874,15103,15317,15556,15872,16532,16671,16510,16540,16668,17500,17960,18522
" "," ","Aller�d",23650,23943,24169,24105,24058,24082,24250,24551,24828,25161,25427,25729,25637,25929,26008,26006,25977,26440
" "," ","Egedal",40900,41187,41588,41765,41908,42141,42441,42672,42907,43058,43129,43383,43424,44109,44893,45384,45547,45813
" "," ","Fredensborg",39214,39265,39188,39495,39554,39456,39701,39952,40223,40558,40812,40867,40971,41087,41644,41820,42042,42370
" "," ","Frederikssund",44245,44314,44380,44422,44467,44381,44555,44709,44909,45195,45272,45370,45425,45807,46213,46288,46856,47298
