Kommune,Foreign citizen
Copenhagen,23
Frederiksberg,17
Dragør,9
Tårnby,13
Albertslund,23
Ballerup,19
Brøndby,29
Gentofte,17
Gladsaxe,21
Glostrup,23
Herlev,21
Hvidovre,17
Høje-Taastrup,30
Ishøj,34
Lyngby-Taarbæk,19
Rødovre,21
Vallensbæk,28
Allerød,10
Egedal,10
Fredensborg,17
Frederikssund,10
Furesø,14
Gribskov,10
Halsnæs,13
Helsingør,11
Hillerød,14
Hørsholm,12
Rudersdal,13
Bornholm,10
Christiansø,6
Greve,15
Køge,13
Lejre,9
Roskilde,10
Solrød,10
Faxe,12
Guldborgsund,9
Holbæk,10
Kalundborg,10
Lolland,13
Næstved,9
Odsherred,8
Ringsted,15
Slagelse,11
Sorø,8
Stevns,10
Vordingborg,10
Assens,10
Faaborg-Midtfyn,9
Kerteminde,10
Langeland,11
Middelfart,8
Nordfyns,11
Nyborg,8
Odense,12
Svendborg,7
Ærø,15
Billund,19
Esbjerg,11
Fanø,10
Fredericia,12
Haderslev,13
Kolding,13
Sønderborg,17
Tønder,18
Varde,14
Vejen,15
Vejle,15
Aabenraa,17
Favrskov,9
Hedensted,11
Horsens,16
Norddjurs,11
Odder,9
Randers,10
Samsø,13
Silkeborg,9
Skanderborg,7
Syddjurs,9
Århus,13
Herning,12
Holstebro,10
Ikast-Brande,17
Lemvig,12
Ringkøbing-Skjern,15
Skive,9
Struer,11
Viborg,10
Brønderslev-Dronninglund,9
Frederikshavn,11
Hjørring,9
Jammerbugt,8
Læsø,7
Mariagerfjord,10
Morsø,8
Rebild,7
Thisted,11
Vesthimmerland,12
Aalborg,10
