kommun,change_absolute_born_overseas,change_absolute_both_parents_overseas,change_absolute_both_parents_sweden,change_absolute_one_parent_overseas,change_relative_born_overseas,change_relative_both_parents_overseas,change_relative_both_parents_sweden,change_relative_one_parent_overseas,count_2014_born_overseas,count_2014_both_parents_overseas,count_2014_both_parents_sweden,count_2014_one_parent_overseas,count_2024_born_overseas,count_2024_both_parents_overseas,count_2024_both_parents_sweden,count_2024_one_parent_overseas,total_2014,total_2024,total_change_absolute,total_change_relative,pct_2024_born_overseas,pct_2024_both_parents_overseas,pct_2024_one_parent_overseas,pct_2024_both_parents_sweden,pct_2014_born_overseas,pct_2014_both_parents_overseas,pct_2014_one_parent_overseas,pct_2014_both_parents_sweden
Ale,1765.0,425.0,-229.0,95.0,57.83093053735256,51.70316301703163,-1.8636067708333333,5.9375,3052.0,822.0,12288.0,1600.0,4817.0,1247.0,12059.0,1695.0,17762.0,19818.0,2056.0,11.575273054836167,24.31,6.29,8.55,60.85,17.18,4.63,9.01,69.18
Alingsås,1153.0,106.0,-589.0,91.0,39.95148995148995,17.60797342192691,-3.1409982935153584,4.845580404685836,2886.0,602.0,18752.0,1878.0,4039.0,708.0,18163.0,1969.0,24118.0,24879.0,761.0,3.155319678248611,16.23,2.85,7.91,73.01,11.97,2.5,7.79,77.75
Alvesta,743.0,68.0,-1234.0,10.0,30.30179445350734,34.0,-14.380608320708543,1.773049645390071,2452.0,200.0,8581.0,564.0,3195.0,268.0,7347.0,574.0,11797.0,11384.0,-413.0,-3.5008900567941,28.07,2.35,5.04,64.54,20.78,1.7,4.78,72.74
Aneby,208.0,15.0,-393.0,6.0,45.614035087719294,33.33333333333333,-11.538461538461538,3.4090909090909087,456.0,45.0,3406.0,176.0,664.0,60.0,3013.0,182.0,4083.0,3919.0,-164.0,-4.016654420769043,16.94,1.53,4.64,76.88,11.17,1.1,4.31,83.42
Arboga,297.0,12.0,-528.0,25.0,24.895222129086335,4.761904761904762,-8.553377612182084,4.012841091492777,1193.0,252.0,6173.0,623.0,1490.0,264.0,5645.0,648.0,8241.0,8047.0,-194.0,-2.3540832423249607,18.52,3.28,8.05,70.15,14.48,3.06,7.56,74.91
Arjeplog,6.0,4.0,-267.0,-34.0,2.727272727272727,33.33333333333333,-18.76317638791286,-29.310344827586203,220.0,12.0,1423.0,116.0,226.0,16.0,1156.0,82.0,1771.0,1480.0,-291.0,-16.431394692264256,15.27,1.08,5.54,78.11,12.42,0.68,6.55,80.35
Arvidsjaur,133.0,14.0,-428.0,-5.0,37.46478873239437,107.6923076923077,-12.911010558069384,-3.1645569620253164,355.0,13.0,3315.0,158.0,488.0,27.0,2887.0,153.0,3841.0,3555.0,-286.0,-7.445977609997397,13.73,0.76,4.3,81.21,9.24,0.34,4.11,86.31
Arvika,382.0,66.0,-1508.0,-91.0,18.61598440545809,38.372093023255815,-12.260162601626016,-6.983883346124328,2052.0,172.0,12300.0,1303.0,2434.0,238.0,10792.0,1212.0,15827.0,14676.0,-1151.0,-7.272382637265433,16.58,1.62,8.26,73.54,12.97,1.09,8.23,77.72
Askersund,266.0,2.0,-513.0,12.0,55.53235908141963,1.7391304347826086,-8.968531468531468,3.35195530726257,479.0,115.0,5720.0,358.0,745.0,117.0,5207.0,370.0,6672.0,6439.0,-233.0,-3.4922062350119902,11.57,1.82,5.75,80.87,7.18,1.72,5.37,85.73
Avesta,711.0,-39.0,-1430.0,-40.0,36.48024628014366,-9.48905109489051,-14.130434782608695,-3.4873583260680032,1949.0,411.0,10120.0,1147.0,2660.0,372.0,8690.0,1107.0,13627.0,12829.0,-798.0,-5.856021134512365,20.73,2.9,8.63,67.74,14.3,3.02,8.42,74.26
