"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"0114 Upplands Väsby","utländsk bakgrund","18-67","2021",14896
"0114 Upplands Väsby","utländsk bakgrund","18-67","2024",16881
"0114 Upplands Väsby","svensk bakgrund","18-67","2021",15253
"0114 Upplands Väsby","svensk bakgrund","18-67","2024",15045
"0115 Vallentuna","utländsk bakgrund","18-67","2021",5013
"0115 Vallentuna","utländsk bakgrund","18-67","2024",5506
"0115 Vallentuna","svensk bakgrund","18-67","2021",15993
"0115 Vallentuna","svensk bakgrund","18-67","2024",16384
"0117 Österåker","utländsk bakgrund","18-67","2021",7574
"0117 Österåker","utländsk bakgrund","18-67","2024",8141
"0117 Österåker","svensk bakgrund","18-67","2021",21651
"0117 Österåker","svensk bakgrund","18-67","2024",22276
"0120 Värmdö","utländsk bakgrund","18-67","2021",5971
"0120 Värmdö","utländsk bakgrund","18-67","2024",6084
"0120 Värmdö","svensk bakgrund","18-67","2021",22436
"0120 Värmdö","svensk bakgrund","18-67","2024",22607
"0123 Järfälla","utländsk bakgrund","18-67","2021",28044
"0123 Järfälla","utländsk bakgrund","18-67","2024",32972
"0123 Järfälla","svensk bakgrund","18-67","2021",24629
"0123 Järfälla","svensk bakgrund","18-67","2024",24558
"0125 Ekerö","utländsk bakgrund","18-67","2021",3632
"0125 Ekerö","utländsk bakgrund","18-67","2024",3556
"0125 Ekerö","svensk bakgrund","18-67","2021",13446
"0125 Ekerö","svensk bakgrund","18-67","2024",13461
"0126 Huddinge","utländsk bakgrund","18-67","2021",34727
"0126 Huddinge","utländsk bakgrund","18-67","2024",35859
"0126 Huddinge","svensk bakgrund","18-67","2021",38477
"0126 Huddinge","svensk bakgrund","18-67","2024",37860
"0127 Botkyrka","utländsk bakgrund","18-67","2021",41594
"0127 Botkyrka","utländsk bakgrund","18-67","2024",42729
"0127 Botkyrka","svensk bakgrund","18-67","2021",19875
"0127 Botkyrka","svensk bakgrund","18-67","2024",19409
"0128 Salem","utländsk bakgrund","18-67","2021",3841
"0128 Salem","utländsk bakgrund","18-67","2024",4308
"0128 Salem","svensk bakgrund","18-67","2021",6283
"0128 Salem","svensk bakgrund","18-67","2024",6176
"0136 Haninge","utländsk bakgrund","18-67","2021",26657
"0136 Haninge","utländsk bakgrund","18-67","2024",29974
"0136 Haninge","svensk bakgrund","18-67","2021",34409
"0136 Haninge","svensk bakgrund","18-67","2024",35196
"0138 Tyresö","utländsk bakgrund","18-67","2021",8159
"0138 Tyresö","utländsk bakgrund","18-67","2024",8445
"0138 Tyresö","svensk bakgrund","18-67","2021",22003
"0138 Tyresö","svensk bakgrund","18-67","2024",22081
"0139 Upplands-Bro","utländsk bakgrund","18-67","2021",9087
"0139 Upplands-Bro","utländsk bakgrund","18-67","2024",10549
"0139 Upplands-Bro","svensk bakgrund","18-67","2021",10322
"0139 Upplands-Bro","svensk bakgrund","18-67","2024",10134
"0140 Nykvarn","utländsk bakgrund","18-67","2021",1560
"0140 Nykvarn","utländsk bakgrund","18-67","2024",1923
"0140 Nykvarn","svensk bakgrund","18-67","2021",5360
"0140 Nykvarn","svensk bakgrund","18-67","2024",5671
"0160 Täby","utländsk bakgrund","18-67","2021",12490
"0160 Täby","utländsk bakgrund","18-67","2024",14179
"0160 Täby","svensk bakgrund","18-67","2021",31752
"0160 Täby","svensk bakgrund","18-67","2024",33268
"0162 Danderyd","utländsk bakgrund","18-67","2021",4730
"0162 Danderyd","utländsk bakgrund","18-67","2024",4782
"0162 Danderyd","svensk bakgrund","18-67","2021",14212
"0162 Danderyd","svensk bakgrund","18-67","2024",14370
"0163 Sollentuna","utländsk bakgrund","18-67","2021",19404
"0163 Sollentuna","utländsk bakgrund","18-67","2024",22024
"0163 Sollentuna","svensk bakgrund","18-67","2021",27328
"0163 Sollentuna","svensk bakgrund","18-67","2024",27237
"0180 Stockholm","utländsk bakgrund","18-67","2021",251174
"0180 Stockholm","utländsk bakgrund","18-67","2024",262047
"0180 Stockholm","svensk bakgrund","18-67","2021",410349
"0180 Stockholm","svensk bakgrund","18-67","2024",410488
"0181 Södertälje","utländsk bakgrund","18-67","2021",41295
"0181 Södertälje","utländsk bakgrund","18-67","2024",44059
"0181 Södertälje","svensk bakgrund","18-67","2021",24037
"0181 Södertälje","svensk bakgrund","18-67","2024",22661
"0182 Nacka","utländsk bakgrund","18-67","2021",20107
"0182 Nacka","utländsk bakgrund","18-67","2024",21386
"0182 Nacka","svensk bakgrund","18-67","2021",46271
"0182 Nacka","svensk bakgrund","18-67","2024",47961
"0183 Sundbyberg","utländsk bakgrund","18-67","2021",18026
"0183 Sundbyberg","utländsk bakgrund","18-67","2024",19967
"0183 Sundbyberg","svensk bakgrund","18-67","2021",19389
"0183 Sundbyberg","svensk bakgrund","18-67","2024",19281
"0184 Solna","utländsk bakgrund","18-67","2021",28197
"0184 Solna","utländsk bakgrund","18-67","2024",29826
"0184 Solna","svensk bakgrund","18-67","2021",30569
"0184 Solna","svensk bakgrund","18-67","2024",30011
"0186 Lidingö","utländsk bakgrund","18-67","2021",7443
"0186 Lidingö","utländsk bakgrund","18-67","2024",7722
"0186 Lidingö","svensk bakgrund","18-67","2021",20780
"0186 Lidingö","svensk bakgrund","18-67","2024",20839
"0187 Vaxholm","utländsk bakgrund","18-67","2021",1180
"0187 Vaxholm","utländsk bakgrund","18-67","2024",1139
"0187 Vaxholm","svensk bakgrund","18-67","2021",5768
"0187 Vaxholm","svensk bakgrund","18-67","2024",5771
"0188 Norrtälje","utländsk bakgrund","18-67","2021",7324
"0188 Norrtälje","utländsk bakgrund","18-67","2024",7913
"0188 Norrtälje","svensk bakgrund","18-67","2021",30516
"0188 Norrtälje","svensk bakgrund","18-67","2024",30576
"0191 Sigtuna","utländsk bakgrund","18-67","2021",17004
"0191 Sigtuna","utländsk bakgrund","18-67","2024",19114
"0191 Sigtuna","svensk bakgrund","18-67","2021",14986
"0191 Sigtuna","svensk bakgrund","18-67","2024",14694
"0192 Nynäshamn","utländsk bakgrund","18-67","2021",5126
"0192 Nynäshamn","utländsk bakgrund","18-67","2024",5693
"0192 Nynäshamn","svensk bakgrund","18-67","2021",12738
"0192 Nynäshamn","svensk bakgrund","18-67","2024",12680
"0305 Håbo","utländsk bakgrund","18-67","2021",3359
"0305 Håbo","utländsk bakgrund","18-67","2024",3741
"0305 Håbo","svensk bakgrund","18-67","2021",10212
"0305 Håbo","svensk bakgrund","18-67","2024",10421
"0319 Älvkarleby","utländsk bakgrund","18-67","2021",1165
"0319 Älvkarleby","utländsk bakgrund","18-67","2024",1183
"0319 Älvkarleby","svensk bakgrund","18-67","2021",4450
"0319 Älvkarleby","svensk bakgrund","18-67","2024",4336
"0330 Knivsta","utländsk bakgrund","18-67","2021",2827
"0330 Knivsta","utländsk bakgrund","18-67","2024",3456
"0330 Knivsta","svensk bakgrund","18-67","2021",9220
"0330 Knivsta","svensk bakgrund","18-67","2024",9709
"0331 Heby","utländsk bakgrund","18-67","2021",1536
"0331 Heby","utländsk bakgrund","18-67","2024",1632
"0331 Heby","svensk bakgrund","18-67","2021",6925
"0331 Heby","svensk bakgrund","18-67","2024",6711
"0360 Tierp","utländsk bakgrund","18-67","2021",2403
"0360 Tierp","utländsk bakgrund","18-67","2024",2328
"0360 Tierp","svensk bakgrund","18-67","2021",10211
"0360 Tierp","svensk bakgrund","18-67","2024",10028
"0380 Uppsala","utländsk bakgrund","18-67","2021",50559
"0380 Uppsala","utländsk bakgrund","18-67","2024",54771
"0380 Uppsala","svensk bakgrund","18-67","2021",105288
"0380 Uppsala","svensk bakgrund","18-67","2024",108522
"0381 Enköping","utländsk bakgrund","18-67","2021",6877
"0381 Enköping","utländsk bakgrund","18-67","2024",7436
"0381 Enköping","svensk bakgrund","18-67","2021",21715
"0381 Enköping","svensk bakgrund","18-67","2024",21892
"0382 Östhammar","utländsk bakgrund","18-67","2021",1841
"0382 Östhammar","utländsk bakgrund","18-67","2024",1852
"0382 Östhammar","svensk bakgrund","18-67","2021",10876
"0382 Östhammar","svensk bakgrund","18-67","2024",10597
"0428 Vingåker","utländsk bakgrund","18-67","2021",974
"0428 Vingåker","utländsk bakgrund","18-67","2024",941
"0428 Vingåker","svensk bakgrund","18-67","2021",4188
"0428 Vingåker","svensk bakgrund","18-67","2024",4031
"0461 Gnesta","utländsk bakgrund","18-67","2021",1336
"0461 Gnesta","utländsk bakgrund","18-67","2024",1389
"0461 Gnesta","svensk bakgrund","18-67","2021",5333
"0461 Gnesta","svensk bakgrund","18-67","2024",5179
"0480 Nyköping","utländsk bakgrund","18-67","2021",8136
"0480 Nyköping","utländsk bakgrund","18-67","2024",8733
"0480 Nyköping","svensk bakgrund","18-67","2021",25336
"0480 Nyköping","svensk bakgrund","18-67","2024",25259
"0481 Oxelösund","utländsk bakgrund","18-67","2021",2080
"0481 Oxelösund","utländsk bakgrund","18-67","2024",2026
"0481 Oxelösund","svensk bakgrund","18-67","2021",4664
"0481 Oxelösund","svensk bakgrund","18-67","2024",4711
"0482 Flen","utländsk bakgrund","18-67","2021",3032
"0482 Flen","utländsk bakgrund","18-67","2024",2810
"0482 Flen","svensk bakgrund","18-67","2021",6049
"0482 Flen","svensk bakgrund","18-67","2024",5605
"0483 Katrineholm","utländsk bakgrund","18-67","2021",5829
"0483 Katrineholm","utländsk bakgrund","18-67","2024",5871
"0483 Katrineholm","svensk bakgrund","18-67","2021",14546
"0483 Katrineholm","svensk bakgrund","18-67","2024",14136
"0484 Eskilstuna","utländsk bakgrund","18-67","2021",26075
"0484 Eskilstuna","utländsk bakgrund","18-67","2024",26929
"0484 Eskilstuna","svensk bakgrund","18-67","2021",39367
"0484 Eskilstuna","svensk bakgrund","18-67","2024",38569
"0486 Strängnäs","utländsk bakgrund","18-67","2021",5449
"0486 Strängnäs","utländsk bakgrund","18-67","2024",5910
"0486 Strängnäs","svensk bakgrund","18-67","2021",16790
"0486 Strängnäs","svensk bakgrund","18-67","2024",17175
"0488 Trosa","utländsk bakgrund","18-67","2021",1909
"0488 Trosa","utländsk bakgrund","18-67","2024",1966
"0488 Trosa","svensk bakgrund","18-67","2021",6483
"0488 Trosa","svensk bakgrund","18-67","2024",6507
"0509 Ödeshög","utländsk bakgrund","18-67","2021",463
"0509 Ödeshög","utländsk bakgrund","18-67","2024",474
"0509 Ödeshög","svensk bakgrund","18-67","2021",2502
"0509 Ödeshög","svensk bakgrund","18-67","2024",2461
"0512 Ydre","utländsk bakgrund","18-67","2021",262
"0512 Ydre","utländsk bakgrund","18-67","2024",269
"0512 Ydre","svensk bakgrund","18-67","2021",1755
"0512 Ydre","svensk bakgrund","18-67","2024",1696
"0513 Kinda","utländsk bakgrund","18-67","2021",693
"0513 Kinda","utländsk bakgrund","18-67","2024",732
"0513 Kinda","svensk bakgrund","18-67","2021",4998
"0513 Kinda","svensk bakgrund","18-67","2024",4838
"0560 Boxholm","utländsk bakgrund","18-67","2021",435
"0560 Boxholm","utländsk bakgrund","18-67","2024",481
"0560 Boxholm","svensk bakgrund","18-67","2021",2772
"0560 Boxholm","svensk bakgrund","18-67","2024",2704
"0561 Åtvidaberg","utländsk bakgrund","18-67","2021",728
"0561 Åtvidaberg","utländsk bakgrund","18-67","2024",806
"0561 Åtvidaberg","svensk bakgrund","18-67","2021",5862
"0561 Åtvidaberg","svensk bakgrund","18-67","2024",5749
"0562 Finspång","utländsk bakgrund","18-67","2021",2938
"0562 Finspång","utländsk bakgrund","18-67","2024",3000
"0562 Finspång","svensk bakgrund","18-67","2021",9902
"0562 Finspång","svensk bakgrund","18-67","2024",9600
"0563 Valdemarsvik","utländsk bakgrund","18-67","2021",615
"0563 Valdemarsvik","utländsk bakgrund","18-67","2024",609
"0563 Valdemarsvik","svensk bakgrund","18-67","2021",3561
"0563 Valdemarsvik","svensk bakgrund","18-67","2024",3502
"0580 Linköping","utländsk bakgrund","18-67","2021",28241
"0580 Linköping","utländsk bakgrund","18-67","2024",29899
"0580 Linköping","svensk bakgrund","18-67","2021",78639
"0580 Linköping","svensk bakgrund","18-67","2024",79279
"0581 Norrköping","utländsk bakgrund","18-67","2021",27989
"0581 Norrköping","utländsk bakgrund","18-67","2024",29459
"0581 Norrköping","svensk bakgrund","18-67","2021",61657
"0581 Norrköping","svensk bakgrund","18-67","2024",60863
"0582 Söderköping","utländsk bakgrund","18-67","2021",880
"0582 Söderköping","utländsk bakgrund","18-67","2024",880
"0582 Söderköping","svensk bakgrund","18-67","2021",7430
"0582 Söderköping","svensk bakgrund","18-67","2024",7363
