kommun,change
Ale,2190
Alingsås,1259
Alvesta,811
Aneby,223
Arboga,309
Arjeplog,10
Arvidsjaur,147
Arvika,448
Askersund,268
Avesta,672
Bengtsfors,239
Berg,158
Bjurholm,37
Bjuv,1229
Boden,829
Bollebygd,372
Bollnäs,576
Borgholm,185
Borlänge,1966
Borås,7045
Botkyrka,6833
Boxholm,186
Bromölla,519
Bräcke,79
Burlöv,2210
Båstad,570
Dals-Ed,-39
Danderyd,770
Degerfors,157
Dorotea,-4
Eda,199
Ekerö,972
Eksjö,823
Emmaboda,509
Enköping,3128
Eskilstuna,5840
Eslöv,2247
Essunga,98
Fagersta,333
Falkenberg,1989
Falköping,1372
Falun,1200
Filipstad,149
Finspång,739
Flen,383
Forshaga,158
Färgelanda,100
Gagnef,54
Gislaved,1749
Gnesta,369
Gnosjö,190
Gotland,1997
Grums,183
Grästorp,79
Gullspång,100
Gällivare,579
Gävle,4525
Göteborg,51310
Götene,323
Habo,399
Hagfors,454
Hallsberg,868
Hallstahammar,395
Halmstad,6163
Hammarö,283
Haninge,10508
Haparanda,-747
Heby,532
Hedemora,351
Helsingborg,13500
Herrljunga,229
Hjo,183
Hofors,77
Huddinge,7636
Hudiksvall,810
Hultsfred,640
Hylte,304
Hällefors,4
Härjedalen,286
Härnösand,776
Härryda,1608
Hässleholm,2385
Håbo,1150
Höganäs,1062
Högsby,282
Hörby,415
Höör,372
Jokkmokk,98
Järfälla,14788
Jönköping,10635
Kalix,91
Kalmar,4239
Karlsborg,135
Karlshamn,1035
Karlskoga,760
Karlskrona,1718
Karlstad,4708
Katrineholm,1388
Kil,134
Kinda,197
Kiruna,1026
Klippan,854
Knivsta,1915
Kramfors,517
Kristianstad,4526
Kristinehamn,427
Krokom,207
Kumla,943
Kungsbacka,2303
Kungsör,299
Kungälv,2260
Kävlinge,1100
Köping,752
Laholm,1231
Landskrona,2103
Laxå,68
Lekeberg,251
Leksand,373
Lerum,1309
Lessebo,366
Lidingö,1620
Lidköping,1168
Lilla Edet,839
Lindesberg,480
Linköping,9316
Ljungby,1323
Ljusdal,209
Ljusnarsberg,-102
Lomma,723
Ludvika,1392
Luleå,2645
Lund,8311
Lycksele,363
Lysekil,336
Malmö,32765
Malung-Sälen,434
Malå,153
Mariestad,482
Mark,982
Markaryd,599
Mellerud,383
Mjölby,1458
Mora,548
Motala,1105
Mullsjö,234
Munkedal,216
Munkfors,142
Mölndal,5037
Mönsterås,407
Mörbylånga,440
Nacka,4817
Nora,196
Norberg,-62
Nordanstig,95
Nordmaling,102
Norrköping,7977
Norrtälje,2688
Norsjö,98
Nybro,1012
Nykvarn,758
Nyköping,2904
Nynäshamn,2100
Nässjö,2053
Ockelbo,118
Olofström,249
Orsa,191
Orust,321
Osby,571
Oskarshamn,1102
Ovanåker,204
Oxelösund,289
Pajala,43
Partille,3212
Perstorp,335
Piteå,930
Ragunda,92
Robertsfors,158
Ronneby,1197
Rättvik,207
Sala,846
Salem,1612
Sandviken,1813
Sigtuna,7253
Simrishamn,440
Sjöbo,475
Skara,890
Skellefteå,6104
Skinnskatteberg,-47
Skurup,777
Skövde,2668
Smedjebacken,-38
Sollefteå,294
Sollentuna,7359
Solna,9251
Sorsele,54
Sotenäs,237
Staffanstorp,1851
Stenungsund,903
Stockholm,50275
Storfors,-144
Storuman,149
Strängnäs,2079
Strömstad,685
Strömsund,138
Sundbyberg,7183
Sundsvall,2482
Sunne,355
Surahammar,-116
Svalöv,784
Svedala,1281
Svenljunga,301
Säffle,477
Säter,211
Sävsjö,574
Söderhamn,568
Söderköping,228
Södertälje,12033
Sölvesborg,231
Tanum,251
Tibro,436
Tidaholm,225
Tierp,699
Timrå,262
Tingsryd,550
Tjörn,338
Tomelilla,559
Torsby,221
Torsås,138
Tranemo,464
Tranås,862
Trelleborg,2205
Trollhättan,2920
Trosa,675
Tyresö,1848
Täby,4878
Töreboda,253
Uddevalla,2873
Ulricehamn,887
Umeå,5557
Upplands Väsby,6317
Upplands-Bro,4915
Uppsala,19390
Uppvidinge,381
Vadstena,105
Vaggeryd,854
Valdemarsvik,126
Vallentuna,1765
Vansbro,252
Vara,577
Varberg,2173
Vaxholm,111
Vellinge,1027
Vetlanda,1268
Vilhelmina,0
Vimmerby,635
Vindeln,182
Vingåker,174
Vänersborg,1873
Vännäs,289
Värmdö,1653
Värnamo,1407
Västervik,1008
Västerås,11742
Växjö,6063
Vårgårda,697
Ydre,48
Ystad,931
Älmhult,1549
Älvdalen,156
Älvkarleby,211
Älvsbyn,227
Ängelholm,1830
Åmål,317
Ånge,131
Åre,492
Årjäng,256
Åsele,67
Åstorp,1391
Åtvidaberg,238
Öckerö,190
Ödeshög,117
Örebro,10030
Örkelljunga,392
Örnsköldsvik,1347
Östersund,2344
Österåker,3096
Östhammar,367
Östra Göinge,558
Överkalix,164
Övertorneå,-223
