"region","månad","Folkmängden per månad, antal"
"0114 Upplands Väsby","2014M12",41816
"0114 Upplands Väsby","2024M12",50323
"0115 Vallentuna","2014M12",31969
"0115 Vallentuna","2024M12",35119
"0117 Österåker","2014M12",41180
"0117 Österåker","2024M12",49787
"0120 Värmdö","2014M12",40541
"0120 Värmdö","2024M12",46635
"0123 Järfälla","2014M12",70701
"0123 Järfälla","2024M12",88950
"0125 Ekerö","2014M12",26698
"0125 Ekerö","2024M12",28910
"0126 Huddinge","2014M12",104185
"0126 Huddinge","2024M12",114304
"0127 Botkyrka","2014M12",88901
"0127 Botkyrka","2024M12",95905
"0128 Salem","2014M12",16140
"0128 Salem","2024M12",17507
"0136 Haninge","2014M12",82407
"0136 Haninge","2024M12",100895
"0138 Tyresö","2014M12",45390
"0138 Tyresö","2024M12",49179
"0139 Upplands-Bro","2014M12",25287
"0139 Upplands-Bro","2024M12",32868
"0140 Nykvarn","2014M12",9815
"0140 Nykvarn","2024M12",12342
"0160 Täby","2014M12",67334
"0160 Täby","2024M12",77744
"0162 Danderyd","2014M12",32295
"0162 Danderyd","2024M12",32425
"0163 Sollentuna","2014M12",69325
"0163 Sollentuna","2024M12",77624
"0180 Stockholm","2014M12",911989
"0180 Stockholm","2024M12",995574
"0181 Södertälje","2014M12",92235
"0181 Södertälje","2024M12",102911
"0182 Nacka","2014M12",96217
"0182 Nacka","2024M12",112112
"0183 Sundbyberg","2014M12",44090
"0183 Sundbyberg","2024M12",56274
"0184 Solna","2014M12",74041
"0184 Solna","2024M12",85789
"0186 Lidingö","2014M12",45465
"0186 Lidingö","2024M12",48377
"0187 Vaxholm","2014M12",11329
"0187 Vaxholm","2024M12",11822
"0188 Norrtälje","2014M12",57568
"0188 Norrtälje","2024M12",66585
"0191 Sigtuna","2014M12",44085
"0191 Sigtuna","2024M12",52767
"0192 Nynäshamn","2014M12",27041
"0192 Nynäshamn","2024M12",30579
"0305 Håbo","2014M12",20034
"0305 Håbo","2024M12",22973
"0319 Älvkarleby","2014M12",9169
"0319 Älvkarleby","2024M12",9552
"0330 Knivsta","2014M12",16105
"0330 Knivsta","2024M12",21193
"0331 Heby","2014M12",13490
"0331 Heby","2024M12",14345
"0360 Tierp","2014M12",20245
"0360 Tierp","2024M12",21104
"0380 Uppsala","2014M12",207362
"0380 Uppsala","2024M12",248016
"0381 Enköping","2014M12",41163
"0381 Enköping","2024M12",48591
"0382 Östhammar","2014M12",21374
"0382 Östhammar","2024M12",22138
"0428 Vingåker","2014M12",8919
"0428 Vingåker","2024M12",8750
"0461 Gnesta","2014M12",10513
"0461 Gnesta","2024M12",11458
"0480 Nyköping","2014M12",53508
"0480 Nyköping","2024M12",58344
"0481 Oxelösund","2014M12",11551
"0481 Oxelösund","2024M12",12031
"0482 Flen","2014M12",16242
"0482 Flen","2024M12",15362
"0483 Katrineholm","2014M12",33268
"0483 Katrineholm","2024M12",34154
"0484 Eskilstuna","2014M12",100923
"0484 Eskilstuna","2024M12",107203
"0486 Strängnäs","2014M12",33878
"0486 Strängnäs","2024M12",39313
"0488 Trosa","2014M12",11864
"0488 Trosa","2024M12",14927
"0509 Ödeshög","2014M12",5240
"0509 Ödeshög","2024M12",5237
"0512 Ydre","2014M12",3660
