"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"0114 Upplands Väsby","svensk bakgrund","18-67","2014",16554
"0114 Upplands Väsby","svensk bakgrund","18-67","2024",15045
"0115 Vallentuna","svensk bakgrund","18-67","2014",15977
"0115 Vallentuna","svensk bakgrund","18-67","2024",16384
"0117 Österåker","svensk bakgrund","18-67","2014",20265
"0117 Österåker","svensk bakgrund","18-67","2024",22276
"0120 Värmdö","svensk bakgrund","18-67","2014",20810
"0120 Värmdö","svensk bakgrund","18-67","2024",22607
"0123 Järfälla","svensk bakgrund","18-67","2014",26270
"0123 Järfälla","svensk bakgrund","18-67","2024",24558
"0125 Ekerö","svensk bakgrund","18-67","2014",13538
"0125 Ekerö","svensk bakgrund","18-67","2024",13461
"0126 Huddinge","svensk bakgrund","18-67","2014",39143
"0126 Huddinge","svensk bakgrund","18-67","2024",37860
"0127 Botkyrka","svensk bakgrund","18-67","2014",22121
"0127 Botkyrka","svensk bakgrund","18-67","2024",19409
"0128 Salem","svensk bakgrund","18-67","2014",6955
"0128 Salem","svensk bakgrund","18-67","2024",6176
"0136 Haninge","svensk bakgrund","18-67","2014",34039
"0136 Haninge","svensk bakgrund","18-67","2024",35196
"0138 Tyresö","svensk bakgrund","18-67","2014",21346
"0138 Tyresö","svensk bakgrund","18-67","2024",22081
"0139 Upplands-Bro","svensk bakgrund","18-67","2014",10550
"0139 Upplands-Bro","svensk bakgrund","18-67","2024",10134
"0140 Nykvarn","svensk bakgrund","18-67","2014",4881
"0140 Nykvarn","svensk bakgrund","18-67","2024",5671
"0160 Täby","svensk bakgrund","18-67","2014",30887
"0160 Täby","svensk bakgrund","18-67","2024",33268
"0162 Danderyd","svensk bakgrund","18-67","2014",14506
"0162 Danderyd","svensk bakgrund","18-67","2024",14370
"0163 Sollentuna","svensk bakgrund","18-67","2014",28544
"0163 Sollentuna","svensk bakgrund","18-67","2024",27237
"0180 Stockholm","svensk bakgrund","18-67","2014",416516
"0180 Stockholm","svensk bakgrund","18-67","2024",410488
"0181 Södertälje","svensk bakgrund","18-67","2014",27822
"0181 Södertälje","svensk bakgrund","18-67","2024",22661
"0182 Nacka","svensk bakgrund","18-67","2014",43475
"0182 Nacka","svensk bakgrund","18-67","2024",47961
"0183 Sundbyberg","svensk bakgrund","18-67","2014",18165
"0183 Sundbyberg","svensk bakgrund","18-67","2024",19281
"0184 Solna","svensk bakgrund","18-67","2014",31518
"0184 Solna","svensk bakgrund","18-67","2024",30011
"0186 Lidingö","svensk bakgrund","18-67","2014",20883
"0186 Lidingö","svensk bakgrund","18-67","2024",20839
"0187 Vaxholm","svensk bakgrund","18-67","2014",5766
"0187 Vaxholm","svensk bakgrund","18-67","2024",5771
"0188 Norrtälje","svensk bakgrund","18-67","2014",29959
"0188 Norrtälje","svensk bakgrund","18-67","2024",30576
"0191 Sigtuna","svensk bakgrund","18-67","2014",16674
"0191 Sigtuna","svensk bakgrund","18-67","2024",14694
"0192 Nynäshamn","svensk bakgrund","18-67","2014",13377
"0192 Nynäshamn","svensk bakgrund","18-67","2024",12680
"0305 Håbo","svensk bakgrund","18-67","2014",9965
"0305 Håbo","svensk bakgrund","18-67","2024",10421
"0319 Älvkarleby","svensk bakgrund","18-67","2014",4683
"0319 Älvkarleby","svensk bakgrund","18-67","2024",4336
"0330 Knivsta","svensk bakgrund","18-67","2014",8408
"0330 Knivsta","svensk bakgrund","18-67","2024",9709
"0331 Heby","svensk bakgrund","18-67","2014",7191
"0331 Heby","svensk bakgrund","18-67","2024",6711
"0360 Tierp","svensk bakgrund","18-67","2014",10836
