kommun,change
Ale,-134
Alingsås,-498
Alvesta,-1224
Aneby,-387
Arboga,-503
Arjeplog,-301
Arvidsjaur,-433
Arvika,-1599
Askersund,-501
Avesta,-1470
Bengtsfors,-929
Berg,-369
Bjurholm,-129
Bjuv,-675
Boden,-1758
Bollebygd,55
Bollnäs,-1672
Borgholm,-859
Borlänge,-2451
Borås,-3610
Botkyrka,-2712
Boxholm,-262
Bromölla,-753
Bräcke,-546
Burlöv,-523
Båstad,-247
Dals-Ed,-238
Danderyd,-136
Degerfors,-729
Dorotea,-340
Eda,-477
Ekerö,-77
Eksjö,-862
Emmaboda,-799
Enköping,557
Eskilstuna,-3757
Eslöv,-1109
Essunga,-379
Fagersta,-696
Falkenberg,-607
Falköping,-1515
Falun,-1827
Filipstad,-1044
Finspång,-1024
Flen,-1512
Forshaga,-439
Färgelanda,-394
Gagnef,-331
Gislaved,-2203
Gnesta,-262
Gnosjö,-713
Gotland,-2286
Grums,-540
Grästorp,-325
Gullspång,-502
Gällivare,-1803
Gävle,-2839
Göteborg,-8912
Götene,-669
Habo,636
Hagfors,-1182
Hallsberg,-948
Hallstahammar,-202
Halmstad,-1720
Hammarö,38
Haninge,1157
Haparanda,-310
Heby,-480
Hedemora,-914
Helsingborg,-5337
Herrljunga,-476
Hjo,-289
Hofors,-405
Huddinge,-1283
Hudiksvall,-1761
Hultsfred,-1401
Hylte,-631
Hällefors,-615
Härjedalen,-549
Härnösand,-1869
Härryda,256
Hässleholm,-2595
Håbo,456
Höganäs,9
Högsby,-773
Hörby,-502
Höör,229
Jokkmokk,-610
Järfälla,-1712
Jönköping,-1919
Kalix,-1064
Kalmar,-1096
Karlsborg,-284
Karlshamn,-1725
Karlskoga,-1112
Karlskrona,-1441
Karlstad,-19
Katrineholm,-1700
Kil,-512
Kinda,-469
Kiruna,-1726
Klippan,-499
Knivsta,1301
Kramfors,-1565
Kristianstad,-3699
Kristinehamn,-1540
Krokom,-3
Kumla,-474
Kungsbacka,1307
Kungsör,-297
Kungälv,2106
Kävlinge,140
Köping,-1304
Laholm,-626
Landskrona,-895
Laxå,-448
Lekeberg,188
Leksand,-591
Lerum,365
Lessebo,-656
Lidingö,-44
Lidköping,-1346
Lilla Edet,-431
Lindesberg,-1385
Linköping,110
Ljungby,-1551
Ljusdal,-1142
Ljusnarsberg,-441
Lomma,58
Ludvika,-1764
Luleå,-2026
Lund,504
Lycksele,-737
Lysekil,-1324
Malmö,-3088
Malung-Sälen,-473
Malå,-398
Mariestad,-683
Mark,-1067
Markaryd,-579
Mellerud,-597
Mjölby,-642
Mora,-1136
Motala,-2195
Mullsjö,-243
Munkedal,-438
Munkfors,-240
Mölndal,804
Mönsterås,-885
Mörbylånga,-250
Nacka,4486
Nora,-477
Norberg,-397
Nordanstig,-634
Nordmaling,-404
Norrköping,-4008
Norrtälje,617
Norsjö,-403
Nybro,-1523
Nykvarn,790
Nyköping,-1459
Nynäshamn,-697
Nässjö,-1650
Ockelbo,-568
Olofström,-527
Orsa,-359
Orust,-963
Osby,-896
Oskarshamn,-1494
Ovanåker,-857
Oxelösund,-471
Pajala,-599
Partille,-792
Perstorp,-533
Piteå,-1857
Ragunda,-404
Robertsfors,-478
Ronneby,-1714
Rättvik,-486
Sala,-1262
Salem,-779
Sandviken,-2286
Sigtuna,-1980
Simrishamn,-1521
Sjöbo,-410
Skara,-1433
Skellefteå,-3120
Skinnskatteberg,-208
Skurup,142
Skövde,-1005
Smedjebacken,-448
Sollefteå,-1822
Sollentuna,-1307
Solna,-1507
Sorsele,-239
Sotenäs,-657
Staffanstorp,496
Stenungsund,318
Stockholm,-6028
Storfors,-249
Storuman,-548
Strängnäs,359
Strömstad,-714
Strömsund,-1108
Sundbyberg,1116
Sundsvall,-3316
Sunne,-725
Surahammar,-247
Svalöv,-298
Svedala,-2
Svenljunga,-457
Säffle,-1097
Säter,-698
Sävsjö,-689
Söderhamn,-2313
Söderköping,-647
Södertälje,-5161
Sölvesborg,-326
Tanum,-655
Tibro,-393
Tidaholm,-544
Tierp,-808
Timrå,-738
Tingsryd,-992
Tjörn,-787
Tomelilla,-552
Torsby,-1091
Torsås,-377
Tranemo,-733
Tranås,-1090
Trelleborg,-317
Trollhättan,-2281
Trosa,593
Tyresö,735
Täby,2381
Töreboda,-634
Uddevalla,-2034
Ulricehamn,-461
Umeå,1296
Upplands Väsby,-1509
Upplands-Bro,-416
Uppsala,4257
Uppvidinge,-711
Vadstena,-360
Vaggeryd,-146
Valdemarsvik,-620
Vallentuna,407
Vansbro,-355
Vara,-692
Varberg,717
Vaxholm,5
Vellinge,354
Vetlanda,-1628
Vilhelmina,-507
Vimmerby,-1067
Vindeln,-334
Vingåker,-522
Vänersborg,-1325
Vännäs,-144
Värmdö,1797
Värnamo,-1440
Västervik,-2523
Västerås,-3085
Växjö,-411
Vårgårda,-202
Ydre,-221
Ystad,-221
Älmhult,-943
Älvdalen,-400
Älvkarleby,-347
Älvsbyn,-614
Ängelholm,-195
Åmål,-954
Ånge,-672
Åre,725
Årjäng,-465
Åsele,-224
Åstorp,-775
Åtvidaberg,-603
Öckerö,-532
Ödeshög,-338
Örebro,-744
Örkelljunga,-210
Örnsköldsvik,-2963
Östersund,-1589
Österåker,2011
Östhammar,-1056
Östra Göinge,-905
Överkalix,-380
Övertorneå,-489
