"ålder","region","utländsk/svensk bakgrund","år","Antal personer"
"18-67","0114 Upplands Väsby","utländsk bakgrund","2024",52.88
"18-67","0115 Vallentuna","utländsk bakgrund","2024",25.15
"18-67","0117 Österåker","utländsk bakgrund","2024",26.76
"18-67","0120 Värmdö","utländsk bakgrund","2024",21.21
"18-67","0123 Järfälla","utländsk bakgrund","2024",57.31
"18-67","0125 Ekerö","utländsk bakgrund","2024",20.90
"18-67","0126 Huddinge","utländsk bakgrund","2024",48.64
"18-67","0127 Botkyrka","utländsk bakgrund","2024",68.76
"18-67","0128 Salem","utländsk bakgrund","2024",41.09
"18-67","0136 Haninge","utländsk bakgrund","2024",45.99
"18-67","0138 Tyresö","utländsk bakgrund","2024",27.66
"18-67","0139 Upplands-Bro","utländsk bakgrund","2024",51.00
"18-67","0140 Nykvarn","utländsk bakgrund","2024",25.32
"18-67","0160 Täby","utländsk bakgrund","2024",29.88
"18-67","0162 Danderyd","utländsk bakgrund","2024",24.97
"18-67","0163 Sollentuna","utländsk bakgrund","2024",44.71
"18-67","0180 Stockholm","utländsk bakgrund","2024",38.96
"18-67","0181 Södertälje","utländsk bakgrund","2024",66.04
"18-67","0182 Nacka","utländsk bakgrund","2024",30.84
"18-67","0183 Sundbyberg","utländsk bakgrund","2024",50.87
"18-67","0184 Solna","utländsk bakgrund","2024",49.85
"18-67","0186 Lidingö","utländsk bakgrund","2024",27.04
"18-67","0187 Vaxholm","utländsk bakgrund","2024",16.48
"18-67","0188 Norrtälje","utländsk bakgrund","2024",20.56
"18-67","0191 Sigtuna","utländsk bakgrund","2024",56.54
"18-67","0192 Nynäshamn","utländsk bakgrund","2024",30.99
"18-67","0305 Håbo","utländsk bakgrund","2024",26.42
"18-67","0319 Älvkarleby","utländsk bakgrund","2024",21.44
"18-67","0330 Knivsta","utländsk bakgrund","2024",26.25
"18-67","0331 Heby","utländsk bakgrund","2024",19.56
"18-67","0360 Tierp","utländsk bakgrund","2024",18.84
"18-67","0380 Uppsala","utländsk bakgrund","2024",33.54
"18-67","0381 Enköping","utländsk bakgrund","2024",25.35
"18-67","0382 Östhammar","utländsk bakgrund","2024",14.88
"18-67","0428 Vingåker","utländsk bakgrund","2024",18.93
"18-67","0461 Gnesta","utländsk bakgrund","2024",21.15
"18-67","0480 Nyköping","utländsk bakgrund","2024",25.69
"18-67","0481 Oxelösund","utländsk bakgrund","2024",30.07
"18-67","0482 Flen","utländsk bakgrund","2024",33.39
"18-67","0483 Katrineholm","utländsk bakgrund","2024",29.34
"18-67","0484 Eskilstuna","utländsk bakgrund","2024",41.11
"18-67","0486 Strängnäs","utländsk bakgrund","2024",25.60
"18-67","0488 Trosa","utländsk bakgrund","2024",23.20
"18-67","0509 Ödeshög","utländsk bakgrund","2024",16.15
"18-67","0512 Ydre","utländsk bakgrund","2024",13.69
"18-67","0513 Kinda","utländsk bakgrund","2024",13.14
"18-67","0560 Boxholm","utländsk bakgrund","2024",15.10
"18-67","0561 Åtvidaberg","utländsk bakgrund","2024",12.30
"18-67","0562 Finspång","utländsk bakgrund","2024",23.81
"18-67","0563 Valdemarsvik","utländsk bakgrund","2024",14.81
"18-67","0580 Linköping","utländsk bakgrund","2024",27.39
"18-67","0581 Norrköping","utländsk bakgrund","2024",32.62
"18-67","0582 Söderköping","utländsk bakgrund","2024",10.68
"18-67","0583 Motala","utländsk bakgrund","2024",22.40
"18-67","0584 Vadstena","utländsk bakgrund","2024",13.62
"18-67","0586 Mjölby","utländsk bakgrund","2024",19.59
"18-67","0604 Aneby","utländsk bakgrund","2024",18.47
"18-67","0617 Gnosjö","utländsk bakgrund","2024",39.20
"18-67","0642 Mullsjö","utländsk bakgrund","2024",17.90
"18-67","0643 Habo","utländsk bakgrund","2024",12.94
"18-67","0662 Gislaved","utländsk bakgrund","2024",38.44
"18-67","0665 Vaggeryd","utländsk bakgrund","2024",28.82
"18-67","0680 Jönköping","utländsk bakgrund","2024",31.89
"18-67","0682 Nässjö","utländsk bakgrund","2024",29.83
"18-67","0683 Värnamo","utländsk bakgrund","2024",32.81
"18-67","0684 Sävsjö","utländsk bakgrund","2024",28.69
"18-67","0685 Vetlanda","utländsk bakgrund","2024",24.36
"18-67","0686 Eksjö","utländsk bakgrund","2024",21.76
"18-67","0687 Tranås","utländsk bakgrund","2024",23.45
"18-67","0760 Uppvidinge","utländsk bakgrund","2024",30.92
"18-67","0761 Lessebo","utländsk bakgrund","2024",34.38
"18-67","0763 Tingsryd","utländsk bakgrund","2024",24.72
"18-67","0764 Alvesta","utländsk bakgrund","2024",30.42
"18-67","0765 Älmhult","utländsk bakgrund","2024",35.67
"18-67","0767 Markaryd","utländsk bakgrund","2024",34.14
"18-67","0780 Växjö","utländsk bakgrund","2024",30.76
"18-67","0781 Ljungby","utländsk bakgrund","2024",29.18
"18-67","0821 Högsby","utländsk bakgrund","2024",33.72
"18-67","0834 Torsås","utländsk bakgrund","2024",15.36
"18-67","0840 Mörbylånga","utländsk bakgrund","2024",12.78
"18-67","0860 Hultsfred","utländsk bakgrund","2024",29.26
"18-67","0861 Mönsterås","utländsk bakgrund","2024",19.10
"18-67","0862 Emmaboda","utländsk bakgrund","2024",28.09
"18-67","0880 Kalmar","utländsk bakgrund","2024",23.45
"18-67","0881 Nybro","utländsk bakgrund","2024",27.35
"18-67","0882 Oskarshamn","utländsk bakgrund","2024",23.03
"18-67","0883 Västervik","utländsk bakgrund","2024",17.87
"18-67","0884 Vimmerby","utländsk bakgrund","2024",18.98
