kommun,percent
Ale,30.6
Alingsås,19.08
Alvesta,30.42
Aneby,18.47
Arboga,21.8
Arjeplog,16.35
Arvidsjaur,14.49
Arvika,18.21
Askersund,13.39
Avesta,23.63
Bengtsfors,25.56
Berg,13.09
Bjurholm,15.49
Bjuv,39.53
Boden,16.87
Bollebygd,17.46
Bollnäs,16.72
Borgholm,14.78
Borlänge,27.27
Borås,37.69
Botkyrka,68.76
Boxholm,15.1
Bromölla,24.78
Bräcke,17.28
Burlöv,55.37
Båstad,20.74
Dals-Ed,19.2
Danderyd,24.97
Degerfors,22.1
Dorotea,12.64
Eda,34.82
Ekerö,20.9
Eksjö,21.76
Emmaboda,28.09
Enköping,25.35
Eskilstuna,41.11
Eslöv,32.01
Essunga,13.59
Fagersta,39.7
Falkenberg,23.62
Falköping,22.6
Falun,15.68
Filipstad,23.05
Finspång,23.81
Flen,33.39
Forshaga,12.92
Färgelanda,15.24
Gagnef,11.49
Gislaved,38.44
Gnesta,21.15
Gnosjö,39.2
Gotland,13.05
Grums,16.5
Grästorp,12.25
Gullspång,23.61
Gällivare,16.48
Gävle,25.12
Göteborg,43.27
Götene,17.24
Habo,12.94
Hagfors,22.45
Hallsberg,24.51
Hallstahammar,29.48
Halmstad,31.22
Hammarö,11.31
Haninge,45.99
Haparanda,52.87
Heby,19.56
Hedemora,20.2
Helsingborg,42.92
Herrljunga,19.66
Hjo,12.77
Hofors,19.86
Huddinge,48.64
Hudiksvall,14.88
Hultsfred,29.26
Hylte,34.12
Hällefors,25.07
Härjedalen,16.37
Härnösand,20.97
Härryda,21.18
Hässleholm,26.46
Håbo,26.42
Höganäs,21.53
Högsby,33.72
Hörby,19.4
Höör,17.2
Jokkmokk,17.83
Järfälla,57.31
Jönköping,31.89
Kalix,16.62
Kalmar,23.45
Karlsborg,11.96
Karlshamn,20.9
Karlskoga,24.43
Karlskrona,19.34
Karlstad,21.7
Katrineholm,29.34
Kil,11.26
Kinda,13.14
Kiruna,21.41
Klippan,27.31
Knivsta,26.25
Kramfors,19.38
Kristianstad,30.57
Kristinehamn,19.55
Krokom,10.47
Kumla,22.15
Kungsbacka,13.77
Kungsör,26.86
Kungälv,18.19
Kävlinge,17.74
Köping,32.14
Laholm,22.41
Landskrona,42.16
Laxå,24.65
Lekeberg,10.75
Leksand,13.94
Lerum,18.25
Lessebo,34.38
Lidingö,27.04
Lidköping,17.14
Lilla Edet,28.96
Lindesberg,22.52
Linköping,27.39
Ljungby,29.18
Ljusdal,14.37
Ljusnarsberg,23.49
Lomma,16.31
Ludvika,27.59
Luleå,18.56
